wetarank,,,
wetarank,eightyninerank,abcrank,composer,title,themekey,thememeter,themesolfege,composer-title,0308
1,2,3,"Ludwig van Beethoven","Symphony #9 ""Choral""",?,?,"mi mi fa sol sol fa mi re do do re mi mi re re",ludwig-van-beethoven-symphony-9-choral,"04 04 05 08 08 05 04 02 00 00 02 04 04 02 02"
2,0,0,"Ludwig van Beethoven","Symphony #7 in A Major, Op. 92",?,?,"sol fa mi fa la ti do do do do re mi mi re re re",ludwig-van-beethoven-symphony-7-in-a-major-op-92,"08 05 04 05 10 12 00 00 00 00 02 04 04 02 02 02"
2,0,0,"Ludwig van Beethoven","Symphony #7 in A Major, Op. 92",?,"2 or 4","me re re me fa me re re me me me fa fi sol sol fa sol la sol fa me",ludwig-van-beethoven-symphony-7-in-a-major-op-92,"03 02 02 03 05 03 02 02 03 03 03 05 06 08 08 05 08 10 08 05 03"
2,0,0,"Ludwig van Beethoven","Symphony #7 in A Major, Op. 92",?,?,"do mi mi sol sol do do ti la la sol fa fa mi re",ludwig-van-beethoven-symphony-7-in-a-major-op-92,"00 04 04 08 08 00 00 12 10 10 08 05 05 04 02"
3,4,,"Antonin Dvorák","Symphony #9 in E Minor, Op. 95 ""From the New World""",?,"2 or 4","do re me re do do do te sol te do. do re me re do do do me do me sol sol do",antonin-dvor-k-symphony-9-in-e-minor-op-95-from-the-new-world,"00 02 03 02 00 00 00 11 08 11 00 00 02 03 02 00 00 00 03 00 03 08 08 00"
4,,4,"Ludwig van Beethoven","Piano Concerto #5 ""Emperor""",?,?,"do mi mi mi sol sol do do do mi re ti re do sol sol",ludwig-van-beethoven-piano-concerto-5-emperor,"00 04 04 04 08 08 00 00 00 04 02 12 02 00 08 08"
5,9,6,"Ludwig van Beethoven","Symphony #6 in F Major, Op. 68 ""Pastoral""",?,?,"mi fa la sol fa mi re sol do re mi fa mi re mi fa sol fa mi sol sol sol sol fa mi re do ti do re mi re do re mi fa mi re fa fa fa fa",ludwig-van-beethoven-symphony-6-in-f-major-op-68-pastoral,"04 05 10 08 05 04 02 08 00 02 04 05 04 02 04 05 08 05 04 08 08 08 08 05 04 02 00 12 00 02 04 02 00 02 04 05 04 02 05 05 05 05"
6,0,0,"Camille Saint-Saëns","Symphony #3 ""Organ""",?,"2 or 4","mi re mi do re mi sol fa sol sol sol la fa re mi fa sol re",camille-saint-sa-ns-symphony-3-organ,"04 02 04 00 02 04 08 05 08 08 08 10 05 02 04 05 08 02"
6,0,0,"Camille Saint-Saëns","Symphony #3 ""Organ""",?,"3 or 6","do do do do re me me me me re do do do do sol",camille-saint-sa-ns-symphony-3-organ,"00 00 00 00 02 03 03 03 03 02 00 00 00 00 08"
7,6,0,"Ludwig van Beethoven","Symphony #5 in C Minor, Op. 67",?,"2 or 4","sol sol me fa fa fa re",ludwig-van-beethoven-symphony-5-in-c-minor-op-67,"08 08 03 05 05 05 02"
8,0,0,"Modest Mussurgsky","Pictures at an Exhibition",?,?,"la sol do re sol mi re sol mi do re la sol",modest-mussurgsky-pictures-at-an-exhibition,"10 08 00 02 08 04 02 08 04 00 02 10 08"
9,0,2,"Ralph Vaughan Williams"," The Lark Ascending",?,?,"do re me me do te le te do te me fa sol fa me fa sol fa me do te do",ralph-vaughan-williams-the-lark-ascending,"00 02 03 03 00 11 09 11 00 11 03 05 08 05 03 05 08 05 03 00 11 00"
9,0,2,"Ralph Vaughan Williams","The Lark Ascending",?,?,"sol la do do re do la sol la do do re mi fa mi re do re sol sol fa sol mi sol la ti do ti la sol mi re do re mi do la do re",ralph-vaughan-williams-the-lark-ascending,"08 10 00 00 02 00 10 08 10 00 00 02 04 05 04 02 00 02 08 08 05 08 04 08 10 12 00 12 10 08 04 02 00 02 04 00 10 00 02"
10,1,13,"Sergei Rachmaninoff","Piano Concerto #2 in C Minor, Op. 18",?,?,"mi sol do re mi fa mi re do ti do la ti le te sol",sergei-rachmaninoff-piano-concerto-2-in-c-minor-op-18,"04 08 00 02 04 05 04 02 00 12 00 10 12 09 11 08"
10,1,13,"Sergei Rachmaninoff","Piano Concerto #2 in C Minor, Op. 18",?,?,"do re do re do te le te sol",sergei-rachmaninoff-piano-concerto-2-in-c-minor-op-18,"00 02 00 02 00 11 09 11 08"
10,1,13,"Sergei Rachmaninoff","Piano Concerto #2 in C Minor, Op. 18",?,?,"sol do te sol fa sol me fa me fe sol fa me sol fa me re sol do re me mi do mi fa sol fa mi sol do re mi fa mi mi re do sol fa mi fa sol mi",sergei-rachmaninoff-piano-concerto-2-in-c-minor-op-18,"08 00 11 08 05 08 03 05 03  08 05 03 08 05 03 02 08 00 02 03 04 00 04 05 08 05 04 08 00 02 04 05 04 04 02 00 08 05 04 05 08 04"
B,B,B,"Asger Hamerik","Symphony 6",?,"2 or 3 or 6","do ti la sol fa mi do mi sol",asger-hamerik-symphony-6,"00 12 10 08 05 04 00 04 08"
B,B,B,"Asger Hamerik","Concert Romance for Cello and Orchestra",?,"3 or 6","mi sol la mi mi re do la sol la sol fa mi re sol sol fa sol",asger-hamerik-concert-romance-for-cello-and-orchestra,"04 08 10 04 04 02 00 10 08 10 08 05 04 02 08 08 05 08"
B,8,B,"Sergei Rachmaninoff","Rhapsody on a Theme of Paganini",?,?,"do do me re do sol sol te fa sol do do me re do sol sol",sergei-rachmaninoff-rhapsody-on-a-theme-of-paganini,"00 00 03 02 00 08 08 11 05 08 00 00 03 02 00 08 08"
B,B,B,"Philip Glass",Itaipu,?,?,"do do do do fa fa fa fa fa me me me me re re re re do do do do",philip-glass-itaipu,"00 00 00 00 05 05 05 05 05 03 03 03 03 02 02 02 02 00 00 00 00"
11,0,0,"George Frideric Handel","Water Music",?,?,"sol do do do do mi mi mi mi sol sol sol fa mi re do re mi re re re",george-frideric-handel-water-music,"08 00 00 00 00 04 04 04 04 08 08 08 05 04 02 00 02 04 02 02 02"
12,0,0,"Nikolai Rimsky-Korsakov",Scheherazade,?,?,"sol fa sol fa me fa me re me re do do me sol te le sol sol",nikolai-rimsky-korsakov-scheherazade,"08 05 08 05 03 05 03 02 03 02 00 00 03 08 11 09 08 08"
13,5,16,"Antonio Vivaldi","The Four Seasons",?,?,"do mi mi mi re do sol sol fa mi mi mi re do sol sol fa mi fa sol fa mi re ti sol",antonio-vivaldi-the-four-seasons,"00 04 04 04 02 00 08 08 05 04 04 04 02 00 08 08 05 04 05 08 05 04 02 12 08"
14,0,0,"Ludwig van Beethoven","Symphony #3 in E-flat Major, Op. 55 ""Eroica""",?,?,"do do mi do sol do mi sol do",ludwig-van-beethoven-symphony-3-in-e-flat-major-op-55-eroica,"00 00 04 00 08 00 04 08 00"
15,0,0,"Piotr Ilyich Tchaikovsky","Violin Concerto in D Major, Op. 35",?,?,"mi re do sol do re mi la fi sol mi mi fa mi re",piotr-ilyich-tchaikovsky-violin-concerto-in-d-major-op-35,"04 02 00 08 00 02 04 10 06 08 04 04 05 04 02"
16,10,0,"Johann Pachelbel","Canon and Gigue",?,?,"sol mi fa sol mi fa sol sol la ti do re mi fa mi do re mi do re mi",johann-pachelbel-canon-and-gigue,"08 04 05 08 04 05 08 08 10 12 00 02 04 05 04 00 02 04 00 02 04"
17,14,0,"George Gershwin","Rhapsody in Blue",?,"2 or 4","do te le te le te le sol fa mi me fa fi sol mi do te le sol sol",george-gershwin-rhapsody-in-blue,"00 11 09 11 09 11 09 08 05 04 03 05 06 08 04 00 11 09 08 08"
18,0,0,"Wolfgang Amadeus Mozart","Symphony #40",?,?,"le sol sol le sol sol le sol sol me me re do do te le le sol fa",wolfgang-amadeus-mozart-symphony-40,"09 08 08 09 08 08 09 08 08 03 03 02 00 00 11 09 09 08 05"
19,0,0,"Felix Mendelssohn","Violin Concerto in E Minor, Op. 64",?,?,"sol sol me do do sol me re do la do sol",felix-mendelssohn-violin-concerto-in-e-minor-op-64,"08 08 03 00 00 08 03 02 00 10 00 08"
20,12,0,"Bedrich Smetana","Ma Vlast: The Moldau",?,?,"sol do re me fa sol sol le le le sol",bedrich-smetana-ma-vlast-the-moldau,"08 00 02 03 05 08 08 09 09 09 08"
0,3,8,"George Frideric Handel","The Messiah (hallelujiah chorus chosen for this database's jumping-off point)",?,"2 or 4","do sol fa sol do sol la sol sol sol la sol sol sol la sol do ti do ti do",george-frideric-handel-the-messiah-hallelujiah-chorus-chosen-for-this-database-s-jumping-off-point,"00 08 05 08 00 08 10 08 08 08 10 08 08 08 10 08 00 12 00 12 00"
0,3,8,"George Frideric Handel","The Messiah (hallelujiah chorus chosen for this database's jumping-off point)",?,"2 or 4","sol do mi la do fa mi re re do",george-frideric-handel-the-messiah-hallelujiah-chorus-chosen-for-this-database-s-jumping-off-point,"08 00 04 10 00 05 04 02 02 00"
0,7,0,"Aaron Copland","Appalachian spring",?,?,"do sol do do mi do sol do sol mi do sol do",aaron-copland-appalachian-spring,"00 08 00 00 04 00 08 00 08 04 00 08 00"
0,11,0,"Gustav Holst","The Planets (using Holst's favorite movement, ""Saturn"" for this database's jumping-off point)",?,"2 or 4","do ti do re me re do re ti do ti do re me fa me fa",gustav-holst-the-planets-using-holst-s-favorite-movement-saturn-for-this-database-s-jumping-off-point,"00 12 00 02 03 02 00 02 12 00 12 00 02 03 05 03 05"
0,12,0,"Gustav Mahler","Symphony No. 2: The resurrection",?,?,"do ti do re me me re me fa sol do re me fa sol la ti do sol do sol do sol do sol do sol do ti do re do ti do sol la fi sol re sol",gustav-mahler-symphony-no-2-the-resurrection,"00 12 00 02 03 03 02 03 05 08 00 02 03 05 08 10 12 00 08 00 08 00 08 00 08 00 08 00 12 00 02 00 12 00 08 10 06 08 02 08"
0,15,0,"Sergei Rachmaninoff","Piano Concerto No. 3",?,?,"do me re do ti do re do re do re me me me re do ti",sergei-rachmaninoff-piano-concerto-no-3,"00 03 02 00 12 00 02 00 02 00 02 03 03 03 02 00 12"
0,16,12,"Johann Sebastian Bach","St. Matthew Passion",?,?,?,johann-sebastian-bach-st-matthew-passion,
0,17,0,"Ralph Vaughan Williams","Fantasia on a Theme by Thomas Tallis",?,?,"sol do te sol fa me sol",ralph-vaughan-williams-fantasia-on-a-theme-by-thomas-tallis,"08 00 11 08 05 03 08"
0,18,0,"Samuel Barber","Adagio for Strings (arr. for orchestra from string quartet)",?,?,"do ti do re ti do re do re me do re me re me fa re",samuel-barber-adagio-for-strings-arr-for-orchestra-from-string-quartet,"00 12 00 02 12 00 02 00 02 03 00 02 03 02 03 05 02"
0,19,0,"Pyotr Ilyich Tchaikovsky","Nutcracker Suite",?,?,"me do me re ti do te te te la la la le le le sol do le do sol",pyotr-ilyich-tchaikovsky-nutcracker-suite,"03 00 03 02 12 00 11 11 11 10 10 10 09 09 09 08 00 09 00 08"
0,20,0,"Ludwig van Beethoven","Piano Sonata No. 14, ""Moonlight""",?,?,"sol sol sol sol sol sol le sol fa te me",ludwig-van-beethoven-piano-sonata-no-14-moonlight,"08 08 08 08 08 08 09 08 05 11 03"
0,0,1,"Wolfgang Amadeus Mozart","Clarinet Concerto in A major",?,?,"sol mi fa la sol fa mi mi fa re fa re do ti",wolfgang-amadeus-mozart-clarinet-concerto-in-a-major,"08 04 05 10 08 05 04 04 05 02 05 02 00 12"
0,0,5,"Ludwig van Beethoven","Violin Concerto in D Major",?,?,"do sol do mi sol do sol do mi sol fa re mi do re ti ti do re",ludwig-van-beethoven-violin-concerto-in-d-major,"00 08 00 04 08 00 08 00 04 08 05 02 04 00 02 12 12 00 02"
0,0,7,"Georges Bizet","Au Fond du Temple Saint from The Pearl Fishers",?,?,"do do ti ti do do do la la ti ti do re mi fa mi mi re",georges-bizet-au-fond-du-temple-saint-from-the-pearl-fishers,"00 00 12 12 00 00 00 10 10 12 12 00 02 04 05 04 04 02"
0,0,9,"Gregorio Allegri",Miserere,?,?,?,gregorio-allegri-miserere,
0,0,10,"Richard Strauss","Four Last Songs",?,?,?,richard-strauss-four-last-songs,
0,0,11,"Johann Sebastian Bach","Jesu, Joy of Man's Desiring",?,?,"mi fa sol sol fa mi re mi fa sol mi re mi fa mi re do",johann-sebastian-bach-jesu-joy-of-man-s-desiring,"04 05 08 08 05 04 02 04 05 08 04 02 04 05 04 02 00"
0,0,14,"Max Bruch","Violin Concerto No. 1 in G minor",?,?,"mi re la la sol sol la ti ti do mi mi mi mi re re do do ti do do ti do la le sol",max-bruch-violin-concerto-no-1-in-g-minor,"04 02 10 10 08 08 10 12 12 00 04 04 04 04 02 02 00 00 12 00 00 12 00 10 09 08"
0,0,15,"Gabriel Fauré",Requiem,?,?,"do do sol sol te te sol do do sol sol te te sol",gabriel-faur-requiem,"00 00 08 08 11 11 08 00 00 08 08 11 11 08"
0,0,17,"Franz Schubert","Notturno (Adagio)",?,?,"mi re mi fa mi mi re mi fa mi sol",franz-schubert-notturno-adagio,"04 02 04 05 04 04 02 04 05 04 08"
0,0,18,"Franz Schubert","Piano Quintet in A major, Trout",?,?,"sol do do mi mi do sol sol sol sol re do ti la sol",franz-schubert-piano-quintet-in-a-major-trout,"08 00 00 04 04 00 08 08 08 08 02 00 12 10 08"
0,0,19,"Edward Elgar","Cello Concerto in E minor",?,?,"do me re do re te la te sol te la sol la fa sol la",edward-elgar-cello-concerto-in-e-minor,"00 03 02 00 02 11 10 11 08 11 10 08 10 05 08 10"
0,0,20,"Johann Sebastian Bach","Six Suites for Unaccompanied Cello",?,?,?,johann-sebastian-bach-six-suites-for-unaccompanied-cello,
P,P,P,"Derek Bourgeois","Trombone Concerto",?,?,"sol sol do te do te sol me fa sol me me le sol le sol me do re me do do fa fa me fa me do le te do me re me fa me re do sol",derek-bourgeois-trombone-concerto,"08 08 00 11 00 11 08 03 05 08 03 03 09 08 09 08 03 00 02 03 00 00 05 05 03 05 03 00 09 11 00 03 02 03 05 03 02 00 08"
P,P,P,"Henri Tomasi","Concerto for Saxophone",?,?,"sol do mi do mi do sol re do re mi sol",henri-tomasi-concerto-for-saxophone,"08 00 04 00 04 00 08 02 00 02 04 08"
